,mean_red,mean_green,total_red,total_green
0,359.97931117922246,82.56541377641555,8926047.0,2047292.0
1,651.896056278509,95.63783138819494,52449601.0,7694733.0
2,649.0577000187121,131.34847229276377,97122398.0,19654460.0
3,767.8095882647309,135.86110792902406,254696261.0,45067575.0
4,635.9819556852859,133.42599226531826,129421692.0,27152056.0
5,633.9432972383111,140.82647341373104,135938997.0,30197984.0
6,943.0482514596249,133.3817458747861,1096736825.0,155118969.0
7,726.4871624415904,103.25617914993448,187966203.0,26715781.0
8,676.6423698082633,78.87815011881648,136961212.0,15965963.0
9,553.3532990059407,88.31402272829857,159371837.0,25435410.0
10,647.384975051313,88.08778708684267,292700874.0,39826955.0
11,612.7962824665277,94.39886947372764,297040742.0,45757964.0
12,590.3058724812103,139.14679404960262,246225434.0,58040215.0
13,671.2350658613071,162.965677858616,365166643.0,88656914.0
14,601.0476292789422,161.8895482800264,243375605.0,65552154.0
15,1163.1850881342914,221.06634644819084,1044941508.0,198593847.0
16,528.6461488762749,156.28044210623472,114552334.0,33864409.0
17,345.2395860659074,163.2240725831984,38165891.0,18044258.0
