,mean_red,mean_green,total_red,total_green
0,858.1471348486099,194.8097139630522,655017701.0,148696891.0
1,956.6736833655601,205.60947301569314,810419324.0,174176308.0
2,801.670156624136,178.3718619211385,709107717.0,157776690.0
3,606.1964895144483,159.5574861075057,413330833.0,108793155.0
4,464.25717502915586,147.01171094786793,277064968.0,87735413.0
5,375.5856910202879,138.64395173166548,86713722.0,32009561.0
6,548.7796640687296,126.68786857696496,320023605.0,73878664.0
7,404.3248776557454,112.49103799441278,122443320.0,34066111.0
8,589.3170627664401,105.33630215706147,216896377.0,38768710.0
9,659.2011015366007,137.24475430818447,477433649.0,99401023.0
10,657.6759094706565,138.39178439346873,488861684.0,102868966.0
11,774.4037805525708,145.6533773018637,627011509.0,117931170.0
12,755.9319958810169,156.55339998685432,517537502.0,107181937.0
13,505.20544883660347,163.79350636885908,184230745.0,59729759.0
14,762.8251900267842,175.54095513578372,260026511.0,59837172.0
15,1220.0548209269114,203.57639485053073,2107619082.0,351673947.0
16,492.1716695934131,175.9828513874276,394343199.0,141002916.0
17,692.4760965311642,166.5468238872814,410674334.0,98770927.0
