,mean_red,mean_green,total_red,total_green
0,1107.4389157097703,157.8043299160752,690922280.0,98452859.0
1,1040.314451947909,154.55227536773214,453983864.0,67445222.0
2,1033.271272062547,134.2082432716179,167313484.0,21731804.0
3,1063.6309099675439,177.01594651703863,328697051.0,54703769.0
4,973.7060513086259,157.4018838651782,308155570.0,49814076.0
5,961.7507547761244,179.69713267561949,233182241.0,43568648.0
6,1128.311185490072,203.9771850076138,299349984.0,54116779.0
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,256.0,13.0,256.0,13.0
16,,,,
17,572.496192893401,22.9251269035533,902254.0,36130.0
