,mean_red,mean_green,total_red,total_green
0,,,,
1,254.0,3.0,508.0,6.0
2,,,,
3,330.35072463768114,130.28985507246378,113971.0,44950.0
4,,,,
5,,,,
6,,,,
7,2213.271648556647,197.28513169231232,3825049101.0,340954675.0
8,1143.1356923623866,136.87697102565622,482317527.0,57751816.0
9,1401.6815892251689,155.99916699505658,718504786.0,79965485.0
10,1327.2294149093811,170.3892431583918,935971474.0,120159687.0
11,1321.878975231493,178.98274975121862,1253966121.0,169787332.0
12,1224.8129032258064,179.18764960419108,846333468.0,123816874.0
13,1184.3453038013563,175.59671673468486,643960519.0,95476676.0
14,993.8467623894519,156.83237757212208,338817269.0,53466510.0
15,2060.9203013385963,229.7579914228397,3169293544.0,353322988.0
16,1248.3109130498042,182.2582668158398,497629159.0,72655800.0
17,1081.4486100404324,196.98835014080518,137480236.0,25042341.0
