Glomerulus,SynapseCount
PB(R1),2
PB(R2),0
PB(R3),3
PB(R4),0
PB(R5),1
PB(R6),1
PB(R7),0
PB(R8),0
PB(R9),2
PB(L1),0
PB(L2),0
PB(L3),1
PB(L4),1
PB(L5),0
PB(L6),0
PB(L7),0
PB(L8),7
PB(L9),0
