target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
910783731,L8R1R9_L,Delta7,590,39
910783731,L8R1R9_L,EPG,427,41
910783731,L8R1R9_L,LPsP,25,2
910783731,L8R1R9_L,IbSpsP,21,13
910783731,L8R1R9_L,PFR_b,19,8
910783731,L8R1R9_L,P1-9,13,2
910783731,L8R1R9_L,PFNv,11,8
910783731,L8R1R9_L,PFGs,5,5
910783731,L8R1R9_L,,4,3
910783731,L8R1R9_L,EPGt,4,2
910783731,L8R1R9_L,PFNd,3,3
910783731,L8R1R9_L,P6-8P9,3,3
910783731,L8R1R9_L,PEN_b(PEN2),2,2
910783731,L8R1R9_L,SIFa,2,1
910783731,L8R1R9_L,PEN_a(PEN1),1,1
910783731,L8R1R9_L,PFL3,1,1
910783731,L8R1R9_L,PFNa,1,1
910783731,L8R1R9_L,PFNp_a,1,1
910783731,L8R1R9_L,SpsP,1,1
910783731,L8R1R9_L,PFL1,1,1
