target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911919044,L6R3_L,Delta7,589,41
911919044,L6R3_L,EPG,421,39
911919044,L6R3_L,IbSpsP,30,15
911919044,L6R3_L,LPsP,24,2
911919044,L6R3_L,EPGt,14,2
911919044,L6R3_L,PFNv,12,9
911919044,L6R3_L,P1-9,7,2
911919044,L6R3_L,PFGs,6,3
911919044,L6R3_L,PFR_b,6,3
911919044,L6R3_L,,4,4
911919044,L6R3_L,SIFa,3,2
911919044,L6R3_L,SpsP,2,1
911919044,L6R3_L,P6-8P9,1,1
911919044,L6R3_L,PFL1,1,1
911919044,L6R3_L,PFL3,1,1
911919044,L6R3_L,PFNp_a,1,1
