target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
910442723,L4R5_R,Delta7,583,41
910442723,L4R5_R,EPG,414,43
910442723,L4R5_R,LPsP,20,2
910442723,L4R5_R,EPGt,19,3
910442723,L4R5_R,IbSpsP,16,12
910442723,L4R5_R,PFR_b,11,6
910442723,L4R5_R,PFNv,8,7
910442723,L4R5_R,P1-9,8,2
910442723,L4R5_R,PFGs,6,4
910442723,L4R5_R,SIFa,5,2
910442723,L4R5_R,SpsP,5,3
910442723,L4R5_R,P6-8P9,3,2
910442723,L4R5_R,PFL2,1,1
910442723,L4R5_R,PFNd,1,1
910442723,L4R5_R,PFNp_a,1,1
910442723,L4R5_R,EL,1,1
910442723,L4R5_R,PFR_a,1,1
