target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
5813048042,L5R4_L,Delta7,588,41
5813048042,L5R4_L,EPG,392,43
5813048042,L5R4_L,LPsP,20,2
5813048042,L5R4_L,IbSpsP,19,9
5813048042,L5R4_L,P1-9,18,2
5813048042,L5R4_L,PFNv,16,8
5813048042,L5R4_L,EPGt,13,3
5813048042,L5R4_L,PFGs,7,6
5813048042,L5R4_L,PFR_b,6,3
5813048042,L5R4_L,SIFa,3,1
5813048042,L5R4_L,,3,3
5813048042,L5R4_L,PEG,2,2
5813048042,L5R4_L,PFNd,2,2
5813048042,L5R4_L,PFL1,1,1
5813048042,L5R4_L,PFNm_b,1,1
5813048042,L5R4_L,P6-8P9,1,1
5813048042,L5R4_L,SpsP,1,1
