target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911901802,L4R6_R,Delta7,643,41
911901802,L4R6_R,EPG,422,42
911901802,L4R6_R,IbSpsP,30,16
911901802,L4R6_R,LPsP,21,2
911901802,L4R6_R,PFR_b,13,9
911901802,L4R6_R,EPGt,11,2
911901802,L4R6_R,P1-9,10,2
911901802,L4R6_R,PFNv,10,6
911901802,L4R6_R,SIFa,6,3
911901802,L4R6_R,,6,6
911901802,L4R6_R,PFGs,3,2
911901802,L4R6_R,PEG,2,2
911901802,L4R6_R,PFR_a,2,2
911901802,L4R6_R,PEN_a(PEN1),1,1
911901802,L4R6_R,PFL2,1,1
911901802,L4R6_R,PFNd,1,1
