target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
5813061383,L1L9R8_R,Delta7,644,41
5813061383,L1L9R8_R,EPG,487,42
5813061383,L1L9R8_R,LPsP,28,2
5813061383,L1L9R8_R,IbSpsP,26,13
5813061383,L1L9R8_R,PFR_b,20,9
5813061383,L1L9R8_R,P1-9,13,2
5813061383,L1L9R8_R,PFNv,11,7
5813061383,L1L9R8_R,P6-8P9,6,1
5813061383,L1L9R8_R,,3,2
5813061383,L1L9R8_R,PFGs,3,3
5813061383,L1L9R8_R,PFL1,2,2
5813061383,L1L9R8_R,SIFa,2,2
5813061383,L1L9R8_R,SpsP,2,2
5813061383,L1L9R8_R,PFL3,1,1
5813061383,L1L9R8_R,PFNa,1,1
5813061383,L1L9R8_R,PFNm_b,1,1
5813061383,L1L9R8_R,PEG,1,1
5813061383,L1L9R8_R,PFR_a,1,1
5813061383,L1L9R8_R,EPGt,1,1
5813061383,L1L9R8_R,PFL2,1,1
