target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911574041,L2R7_R,Delta7,567,41
911574041,L2R7_R,EPG,357,38
911574041,L2R7_R,LPsP,39,2
911574041,L2R7_R,IbSpsP,25,9
911574041,L2R7_R,P1-9,20,2
911574041,L2R7_R,PFR_b,17,6
911574041,L2R7_R,PFNv,15,9
911574041,L2R7_R,EPGt,13,2
911574041,L2R7_R,SIFa,6,1
911574041,L2R7_R,P6-8P9,4,2
911574041,L2R7_R,SpsP,3,1
911574041,L2R7_R,PFL1,3,3
911574041,L2R7_R,PFL3,2,2
911574041,L2R7_R,PFGs,2,1
911574041,L2R7_R,PFNa,1,1
911574041,L2R7_R,PFNp_e,1,1
911574041,L2R7_R,PFL2,1,1
911574041,L2R7_R,PFR_a,1,1
911574041,L2R7_R,PEN_b(PEN2),1,1
911574041,L2R7_R,PEG,1,1
911574041,L2R7_R,,1,1
