target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911911004,L1L9R8_R,Delta7,724,41
911911004,L1L9R8_R,EPG,565,43
911911004,L1L9R8_R,LPsP,30,2
911911004,L1L9R8_R,IbSpsP,29,16
911911004,L1L9R8_R,PFNv,22,12
911911004,L1L9R8_R,P1-9,15,2
911911004,L1L9R8_R,PFR_b,15,8
911911004,L1L9R8_R,EPGt,10,2
911911004,L1L9R8_R,PFGs,7,6
911911004,L1L9R8_R,,4,3
911911004,L1L9R8_R,SIFa,3,1
911911004,L1L9R8_R,P6-8P9,2,1
911911004,L1L9R8_R,SpsP,2,2
911911004,L1L9R8_R,PFL3,1,1
911911004,L1L9R8_R,PFNa,1,1
911911004,L1L9R8_R,PFNd,1,1
911911004,L1L9R8_R,PFNm_b,1,1
911911004,L1L9R8_R,PEG,1,1
911911004,L1L9R8_R,PFL2,1,1
