target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911911193,L8R1R9_L,Delta7,561,41
911911193,L8R1R9_L,EPG,472,43
911911193,L8R1R9_L,LPsP,25,2
911911193,L8R1R9_L,IbSpsP,20,9
911911193,L8R1R9_L,P1-9,18,2
911911193,L8R1R9_L,PFNv,17,10
911911193,L8R1R9_L,P6-8P9,14,3
911911193,L8R1R9_L,EPGt,13,3
911911193,L8R1R9_L,PFR_b,10,5
911911193,L8R1R9_L,PFGs,7,3
911911193,L8R1R9_L,,4,3
911911193,L8R1R9_L,SIFa,3,2
911911193,L8R1R9_L,SpsP,3,2
911911193,L8R1R9_L,PFR_a,2,2
911911193,L8R1R9_L,PFL1,1,1
911911193,L8R1R9_L,PEG,1,1
911911193,L8R1R9_L,PEN_b(PEN2),1,1
