target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911919917,L1L9R8_R,Delta7,554,41
911919917,L1L9R8_R,EPG,411,34
911919917,L1L9R8_R,LPsP,28,2
911919917,L1L9R8_R,IbSpsP,24,13
911919917,L1L9R8_R,P1-9,18,2
911919917,L1L9R8_R,PFR_b,17,8
911919917,L1L9R8_R,EPGt,16,2
911919917,L1L9R8_R,PFNv,13,9
911919917,L1L9R8_R,,13,7
911919917,L1L9R8_R,P6-8P9,8,2
911919917,L1L9R8_R,PFGs,6,4
911919917,L1L9R8_R,SpsP,6,3
911919917,L1L9R8_R,PFL2,2,1
911919917,L1L9R8_R,PFL1,1,1
911919917,L1L9R8_R,PFNd,1,1
911919917,L1L9R8_R,PFNp_a,1,1
911919917,L1L9R8_R,PFNp_e,1,1
911919917,L1L9R8_R,PEG,1,1
911919917,L1L9R8_R,PFR_a,1,1
911919917,L1L9R8_R,SIFa,1,1
