target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
1158747783,L7R2_L,Delta7,564,40
1158747783,L7R2_L,EPG,430,43
1158747783,L7R2_L,LPsP,24,2
1158747783,L7R2_L,IbSpsP,18,11
1158747783,L7R2_L,PFR_b,15,7
1158747783,L7R2_L,PFNv,13,8
1158747783,L7R2_L,P1-9,11,2
1158747783,L7R2_L,EPGt,5,1
1158747783,L7R2_L,SIFa,4,2
1158747783,L7R2_L,PFGs,4,4
1158747783,L7R2_L,PFNd,2,2
1158747783,L7R2_L,PFL1,2,2
1158747783,L7R2_L,SpsP,2,2
1158747783,L7R2_L,PFNm_b,1,1
1158747783,L7R2_L,PFNp_a,1,1
1158747783,L7R2_L,PFNa,1,1
1158747783,L7R2_L,PFR_a,1,1
1158747783,L7R2_L,PEN_b(PEN2),1,1
1158747783,L7R2_L,PEG,1,1
