target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911129339,L4R5_R,Delta7,561,41
911129339,L4R5_R,EPG,333,43
911129339,L4R5_R,IbSpsP,22,12
911129339,L4R5_R,EPGt,18,2
911129339,L4R5_R,LPsP,13,2
911129339,L4R5_R,P1-9,13,2
911129339,L4R5_R,PFNv,12,8
911129339,L4R5_R,PFR_b,8,6
911129339,L4R5_R,PFGs,7,5
911129339,L4R5_R,SpsP,5,2
911129339,L4R5_R,,4,4
911129339,L4R5_R,SIFa,3,2
911129339,L4R5_R,PFL1,2,2
911129339,L4R5_R,P6-8P9,1,1
911129339,L4R5_R,PFNp_a,1,1
911129339,L4R5_R,PFNp_e,1,1
