target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
910442782,L4R6_R,Delta7,511,41
910442782,L4R6_R,EPG,399,38
910442782,L4R6_R,LPsP,29,2
910442782,L4R6_R,IbSpsP,26,15
910442782,L4R6_R,P1-9,13,2
910442782,L4R6_R,PFNv,10,8
910442782,L4R6_R,EPGt,7,3
910442782,L4R6_R,PFR_b,6,5
910442782,L4R6_R,PFGs,4,4
910442782,L4R6_R,SIFa,3,1
910442782,L4R6_R,,3,2
910442782,L4R6_R,SpsP,2,2
910442782,L4R6_R,PEN_b(PEN2),2,2
910442782,L4R6_R,PFL2,1,1
910442782,L4R6_R,PFR_a,1,1
910442782,L4R6_R,PEN_a(PEN1),1,1
910442782,L4R6_R,P6-8P9,1,1
