target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
910442752,L8R1R9_L,Delta7,606,41
910442752,L8R1R9_L,EPG,408,42
910442752,L8R1R9_L,IbSpsP,23,13
910442752,L8R1R9_L,LPsP,23,2
910442752,L8R1R9_L,P1-9,20,2
910442752,L8R1R9_L,PFNv,15,10
910442752,L8R1R9_L,PFR_b,13,10
910442752,L8R1R9_L,P6-8P9,9,2
910442752,L8R1R9_L,SIFa,8,2
910442752,L8R1R9_L,EPGt,7,3
910442752,L8R1R9_L,PFGs,4,4
910442752,L8R1R9_L,SpsP,4,2
910442752,L8R1R9_L,PFNa,3,3
910442752,L8R1R9_L,PFL2,2,2
910442752,L8R1R9_L,PFL3,1,1
910442752,L8R1R9_L,PFNd,1,1
