target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
912243353,L7R2_L,Delta7,478,41
912243353,L7R2_L,EPG,350,41
912243353,L7R2_L,PFNv,17,12
912243353,L7R2_L,P1-9,15,2
912243353,L7R2_L,IbSpsP,13,10
912243353,L7R2_L,LPsP,12,2
912243353,L7R2_L,PFR_b,12,6
912243353,L7R2_L,EPGt,8,3
912243353,L7R2_L,SpsP,5,4
912243353,L7R2_L,,5,3
912243353,L7R2_L,PFGs,4,4
912243353,L7R2_L,PFNa,3,3
912243353,L7R2_L,SIFa,2,1
912243353,L7R2_L,PFNp_c,1,1
912243353,L7R2_L,PFNd,1,1
912243353,L7R2_L,PFR_a,1,1
912243353,L7R2_L,P6-8P9,1,1
