target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911578496,L2R7_R,Delta7,611,41
911578496,L2R7_R,EPG,417,43
911578496,L2R7_R,LPsP,22,2
911578496,L2R7_R,P1-9,16,2
911578496,L2R7_R,IbSpsP,15,10
911578496,L2R7_R,PFR_b,14,9
911578496,L2R7_R,PFNv,12,8
911578496,L2R7_R,SpsP,9,3
911578496,L2R7_R,PFGs,8,6
911578496,L2R7_R,EPGt,5,2
911578496,L2R7_R,,5,5
911578496,L2R7_R,P6-8P9,3,3
911578496,L2R7_R,SIFa,2,2
911578496,L2R7_R,PEG,1,1
911578496,L2R7_R,PFNd,1,1
911578496,L2R7_R,PFNm_b,1,1
