target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
941469087,L3R6_R,Delta7,611,41
941469087,L3R6_R,EPG,455,42
941469087,L3R6_R,LPsP,22,2
941469087,L3R6_R,IbSpsP,20,11
941469087,L3R6_R,P1-9,13,2
941469087,L3R6_R,PFNv,11,11
941469087,L3R6_R,PFR_b,10,7
941469087,L3R6_R,EPGt,8,3
941469087,L3R6_R,PFGs,7,5
941469087,L3R6_R,SIFa,5,2
941469087,L3R6_R,,5,3
941469087,L3R6_R,SpsP,4,3
941469087,L3R6_R,PFL1,2,2
941469087,L3R6_R,PFNp_a,1,1
941469087,L3R6_R,PFNd,1,1
941469087,L3R6_R,PFR_a,1,1
941469087,L3R6_R,PFL3,1,1
941469087,L3R6_R,PFNa,1,1
