target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
941482720,L6R3_L,Delta7,581,41
941482720,L6R3_L,EPG,330,38
941482720,L6R3_L,LPsP,22,2
941482720,L6R3_L,IbSpsP,19,10
941482720,L6R3_L,PFNv,16,9
941482720,L6R3_L,P1-9,14,2
941482720,L6R3_L,PFR_b,14,8
941482720,L6R3_L,EPGt,9,1
941482720,L6R3_L,SIFa,5,3
941482720,L6R3_L,PFGs,4,4
941482720,L6R3_L,,4,4
941482720,L6R3_L,PEN_a(PEN1),2,2
941482720,L6R3_L,PFL2,2,2
941482720,L6R3_L,PEN_b(PEN2),1,1
941482720,L6R3_L,PFNa,1,1
941482720,L6R3_L,PFR_a,1,1
