target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911574261,L1L9R8_R,Delta7,593,41
911574261,L1L9R8_R,EPG,481,41
911574261,L1L9R8_R,IbSpsP,25,14
911574261,L1L9R8_R,LPsP,22,2
911574261,L1L9R8_R,PFNv,20,13
911574261,L1L9R8_R,P1-9,18,2
911574261,L1L9R8_R,SpsP,16,3
911574261,L1L9R8_R,PFR_b,12,7
911574261,L1L9R8_R,EPGt,9,4
911574261,L1L9R8_R,PFGs,6,5
911574261,L1L9R8_R,,3,2
911574261,L1L9R8_R,PFL2,3,3
911574261,L1L9R8_R,P6-8P9,3,1
911574261,L1L9R8_R,PEG,2,2
911574261,L1L9R8_R,PFNp_c,1,1
911574261,L1L9R8_R,PFR_a,1,1
911574261,L1L9R8_R,SIFa,1,1
911574261,L1L9R8_R,PFL1,1,1
