target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
942522378,L2R7_R,Delta7,525,41
942522378,L2R7_R,EPG,355,44
942522378,L2R7_R,IbSpsP,25,15
942522378,L2R7_R,PFNv,14,8
942522378,L2R7_R,EPGt,13,2
942522378,L2R7_R,LPsP,12,2
942522378,L2R7_R,P1-9,12,2
942522378,L2R7_R,PFR_b,10,7
942522378,L2R7_R,SpsP,4,2
942522378,L2R7_R,SIFa,3,2
942522378,L2R7_R,,3,2
942522378,L2R7_R,PFGs,3,3
942522378,L2R7_R,PEN_b(PEN2),2,1
942522378,L2R7_R,PFL1,2,2
942522378,L2R7_R,PFNa,1,1
942522378,L2R7_R,PFNp_a,1,1
942522378,L2R7_R,PFL2,1,1
942522378,L2R7_R,PFR_a,1,1
942522378,L2R7_R,FC1D,1,1
