target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911578595,L8R1R9_L,Delta7,619,41
911578595,L8R1R9_L,EPG,510,39
911578595,L8R1R9_L,IbSpsP,25,14
911578595,L8R1R9_L,LPsP,25,2
911578595,L8R1R9_L,PFR_b,19,8
911578595,L8R1R9_L,P1-9,14,2
911578595,L8R1R9_L,PFNv,12,9
911578595,L8R1R9_L,P6-8P9,9,2
911578595,L8R1R9_L,EPGt,7,3
911578595,L8R1R9_L,PFGs,5,4
911578595,L8R1R9_L,SpsP,4,1
911578595,L8R1R9_L,,4,2
911578595,L8R1R9_L,SIFa,2,2
911578595,L8R1R9_L,PFL3,1,1
911578595,L8R1R9_L,PFNa,1,1
911578595,L8R1R9_L,PFR_a,1,1
