target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911211196,L6R4_L,Delta7,581,41
911211196,L6R4_L,EPG,362,40
911211196,L6R4_L,IbSpsP,30,14
911211196,L6R4_L,LPsP,23,2
911211196,L6R4_L,PFR_b,19,7
911211196,L6R4_L,EPGt,10,4
911211196,L6R4_L,P1-9,8,2
911211196,L6R4_L,PFNv,4,4
911211196,L6R4_L,SpsP,4,2
911211196,L6R4_L,,4,3
911211196,L6R4_L,PFGs,3,2
911211196,L6R4_L,SIFa,2,2
911211196,L6R4_L,P6-8P9,1,1
911211196,L6R4_L,PFL2,1,1
911211196,L6R4_L,PFNp_c,1,1
911211196,L6R4_L,PFR_a,1,1
