mean_red,mean_green,total_red,total_green,glomerulus
549.8,237.1,770558134.0,129280393.0,L7
368.0,219.7,572202155.0,91052398.0,L6
321.6,204.1,450211432.0,57144335.0,L5
276.9,190.7,273484072.0,40223679.0,L4
629.2,213.4,1653801077.0,190828173.0,L3
268.0,192.8,324547154.0,38918125.0,L2
496.4,230.0,1023843384.0,149035963.0,L1+9
688.6,278.7,956125676.0,174382832.0,L8
549.8,237.1,770558134.0,129280393.0,added
