,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,848.9542005997691,162.74262725670778,402276099.0,9789620.0,473849,60154
2,955.6662628633705,169.1205970422181,683965566.0,14797714.0,715695,87498
3,846.5180621174721,173.54570288854052,578550230.0,11181029.0,683447,64427
4,888.4295289452127,204.02572752674982,327530207.0,5987339.0,368662,29346
5,849.2052550921038,202.99339396840594,331370081.0,6360798.0,390212,31335
6,769.5505230639812,186.9964433658312,270780973.0,4469028.0,351869,23899
7,1429.5982169671145,176.04686884600235,2727651954.0,72858229.0,1907985,413857
8,615.7913120297642,167.28977474596746,230724073.0,2354269.0,374679,14073
9,723.7915245731895,173.1264294302745,409624023.0,6767339.0,565942,39089
10,796.1831734227204,163.87546923453567,1056030291.0,11044715.0,1326366,67397
11,756.7071191461927,159.03412250951482,710082610.0,14583270.0,938385,91699
12,872.8054314803999,181.41116734747018,415425710.0,11147172.0,475966,61447
13,659.1950419979797,168.22493621258323,167710425.0,5406413.0,254417,32138
14,661.8919852293094,147.67048267326732,202008772.0,1431813.0,305199,9696
15,1196.6863832345648,154.71909831875834,2555681734.0,39046923.0,2135632,252373
16,824.7985075293324,171.035105871919,461785714.0,4628381.0,559877,27061
17,836.0475922092719,190.89454632678428,412382983.0,8754233.0,493253,45859
18,822.594930173092,180.48327265396156,434935553.0,15218891.0,528736,84323
