,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,2441.129628412652,474.41663061382445,1188678779.0,119526898.0,486938,251945
2,1489.7648061550515,353.73028912174783,486789589.0,28592373.0,326756,80831
3,1666.639667566762,426.9761249347799,738181375.0,71195280.0,442916,166743
4,1413.9387664720875,384.2414757175256,300112745.0,19653183.0,212253,51148
5,1603.6730145702759,407.879869558228,672165111.0,53282571.0,419141,130633
6,1360.0878481945176,417.97043360433605,343396340.0,30846218.0,252481,73800
7,1368.947026616451,471.8015594820803,216273096.0,13190628.0,157985,27958
8,1149.612351823957,319.7282099343955,157980879.0,3752650.0,137421,11737
9,1780.8931184093733,402.0315716937616,1253971367.0,85762983.0,704125,213324
10,1511.3016114807986,407.05230617716256,301607440.0,7439695.0,199568,18277
11,1457.832241809798,379.49498850747955,579202581.0,40285670.0,397304,106156
12,1617.574121925543,389.59062962098216,625375184.0,55064350.0,386613,141339
13,1684.8788282440808,395.0758300242785,894264602.0,90638692.0,530759,229421
14,1592.7916382181945,419.3943346446332,615875186.0,62153821.0,386664,148199
15,1479.6514866103248,397.45322083106515,232506516.0,21903647.0,157136,55110
16,1374.1225730084977,323.2423457415855,233338380.0,17219443.0,169809,53271
17,2397.652979578983,431.4774336256781,1979550253.0,216911041.0,825620,502717
18,1508.2391155114235,378.14276937006855,155992647.0,11693687.0,103427,30924
