,mean_red,mean_green,total_red,total_green
1,429.3,166.8,48295593,6323767
2,925.0,158.8,1893639734,119608832
3,330.1,136.7,185855605,12722188
4,330.8,128.2,108805835,4773084
5,356.0,132.1,507723142,23976721
6,436.8,132.6,738163716,32185502
7,503.7,140.9,738791751,30264226
8,407.2,137.0,446529149,11873727
9,352.3,127.8,116245060,1275385
10,842.2,159.1,1813264510,52450070
11,373.1,145.0,210867426,2833099
12,420.5,156.8,179268126,5105499
13,424.4,150.8,292299024,7188381
14,456.3,136.4,548099611,5886934
15,536.2,155.5,571267982,11534219
16,643.2,176.0,645197336,15239616
17,753.9,179.0,406656794,7974307
18,1609.1,237.6,1823152787,77339808
