,mean_red,mean_green,total_red,total_green
1,567.4,281.8,114767358,8014225
2,853.8,253.1,1053884314,44939897
3,703.1,249.5,1246013685,54519721
4,579.3,222.4,1145191560,49060185
5,453.2,182.1,557912638,16852201
6,1296.4,179.3,3621776611,215974917
7,417.0,136.3,402121259,10167728
8,416.3,158.3,412636611,17996307
9,459.3,162.3,501260198,25497540
10,594.8,152.9,936361932,34949774
11,624.9,170.1,1303666875,65062305
12,552.7,175.6,1115187397,56370049
13,527.2,177.6,789344824,32227989
14,1223.7,222.0,5373641910,255184867
15,747.4,226.7,1225537433,51379765
16,919.5,248.2,1706320570,95521980
17,1062.0,250.8,1555077365,82738544
18,1000.6,318.4,460508439,36879424
