,mean_red,mean_green,total_red,total_green
1,,,,
2,870.8,282.1,208271634.0,13925390.0
3,867.4,311.5,345611203.0,29780943.0
4,860.9,278.3,402984513.0,38165072.0
5,754.1,257.0,333719997.0,33526983.0
6,566.0,201.4,403666772.0,32730740.0
7,412.0,181.4,233768663.0,15705249.0
8,877.5,211.6,1642121692.0,138558098.0
9,388.0,166.5,181506681.0,13522760.0
10,440.5,197.4,408575927.0,38584064.0
11,465.9,212.3,428555828.0,37286579.0
12,521.6,213.8,354533957.0,30464884.0
13,525.5,216.9,345259049.0,35946901.0
14,550.0,208.3,343658809.0,30745237.0
15,589.3,232.9,490605696.0,54557856.0
16,1421.7,299.8,2315254534.0,214866536.0
17,766.8,308.7,261620290.0,31937521.0
18,1122.4,366.1,248841596.0,34840806.0
