,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,108.56042031523643,193.97682709447415,123976.0,108821.0,1142,561
2,267.10188297296156,155.20521888715365,278141738.0,59728090.0,1041332,384833
3,274.8605287056901,164.7253595491813,446114580.0,99211119.0,1623058,602282
4,299.9003733651862,161.58018969344616,503147055.0,113476313.0,1677714,702291
5,241.9637661183595,151.41834923268354,431848703.0,109520892.0,1784766,723300
6,202.14368707081772,127.24562009262795,527811317.0,114981051.0,2611070,903615
7,161.23751705042855,116.9121710450887,316793024.0,61182945.0,1964760,523324
8,523.9639245127534,154.61364869151467,1729442486.0,194967811.0,3300690,1261000
9,163.46850146423486,110.15931089601278,231375769.0,43417640.0,1415415,394135
10,192.76324249974599,126.41806277438563,508440810.0,90188163.0,2637644,713412
11,233.85368063212894,137.87421544836386,511117620.0,76928573.0,2185630,557962
12,231.5479612795967,138.7537435134082,431755906.0,67300977.0,1864650,485039
13,233.8147769823712,137.7849859266795,421174065.0,87086587.0,1801315,632047
14,221.38360710662636,134.95047488517056,426853275.0,84087371.0,1928116,623098
15,222.43713937338018,145.59450994550141,632111853.0,156471439.0,2841755,1074707
16,720.0558217887324,199.13896181790997,2477869775.0,347618764.0,3441219,1745609
17,271.61371737295076,168.02753213338744,346488656.0,104751220.0,1275667,623417
18,439.4589354381704,199.27467283426532,293134491.0,74872875.0,667035,375727
