Glomerulus,SynapseCount
PB(R1),43
PB(R2),23
PB(R3),48
PB(R4),41
PB(R5),35
PB(R6),42
PB(R7),55
PB(R8),29
PB(R9),18
PB(L1),63
PB(L2),33
PB(L3),69
PB(L4),70
PB(L5),43
PB(L6),20
PB(L7),18
PB(L8),23
PB(L9),11
