Glomerulus,SynapseCount
PB(R1),22
PB(R2),39
PB(R3),77
PB(R4),46
PB(R5),40
PB(R6),31
PB(R7),37
PB(R8),5
PB(R9),21
PB(L1),5
PB(L2),23
PB(L3),43
PB(L4),32
PB(L5),26
PB(L6),30
PB(L7),19
PB(L8),6
PB(L9),0
