,mean_red,mean_green,total_red,total_green
0,1107.43891570977,157.804329916075,690922280.0,98452859.0
1,1040.31445194791,154.552275367732,453983864.0,67445222.0
2,1033.27127206255,134.208243271618,167313484.0,21731804.0
3,1063.63090996754,177.015946517039,328697051.0,54703769.0
4,973.706051308626,157.401883865178,308155570.0,49814076.0
5,961.750754776124,179.697132675619,233182241.0,43568648.0
6,1128.31118549007,203.977185007614,299349984.0,54116779.0
7,2213.27164855665,197.285131692312,3825049101.0,340954675.0
8,1143.13569236239,136.876971025656,482317527.0,57751816.0
9,1401.68158922517,155.999166995057,718504786.0,79965485.0
10,1327.22941490938,170.389243158392,935971474.0,120159687.0
11,1321.87897523149,178.982749751219,1253966121.0,169787332.0
12,1224.81290322581,179.187649604191,846333468.0,123816874.0
13,1184.34530380136,175.596716734685,643960519.0,95476676.0
14,993.846762389452,156.832377572122,338817269.0,53466510.0
15,2060.9203013386,229.75799142284,3169293544.0,353322988.0
16,1248.3109130498,182.25826681584,497629159.0,72655800.0
17,1081.44861004043,196.988350140805,137480236.0,25042341.0
