glomerulus,mean_red,mean_green,total_red,total_green
L7,849.565825178591,120.31160977162408,807746797.0,25703252.0
L6,677.9564128528523,102.82760347518226,786676893.0,26488185.0
L5,601.5967404089627,114.78520328381548,415301481.0,17617233.0
L4,551.482121826667,98.46528709494032,338557632.0,12990033.0
L3,1103.3004134383325,113.71015045216,2955471499.0,121704770.0
L2,394.8921765471421,82.07660732127165,248207898.0,6818350.0
L1+9,232.6169143782886,42.329009146948586,405487570.0,19130765.0
L8,818.2768040952509,126.3284449363586,414967806.0,13239979.0
added,849.565825178591,120.31160977162408,807746797.0,25703252.0
