glomerulus,mean_red,mean_green,total_red,total_green
R3,521.6,213.8,354533957.0,30464884.0
R4,525.5,216.9,345259049.0,35946901.0
R5,550.0,208.3,343658809.0,30745237.0
R6,589.3,232.9,490605696.0,54557856.0
R7,1421.7,299.8,2315254534.0,214866536.0
R8,766.8,308.7,261620290.0,31937521.0
R1+9,781.45,281.75,657417523.0,73424870.0
R2,465.9,212.3,428555828.0,37286579.0
added,521.6,213.8,354533957.0,30464884.0
