mean_red,mean_green,total_red,total_green,glomerulus
251.6,93.8,939034461.0,138152452.0,L4
274.6,97.6,937083227.0,99141010.0,L3
213.1,91.2,588335132.0,48486492.0,L2
138.4,94.4,333291546.0,81304803.0,L1+9
530.7,117.6,2142635344.0,324146456.0,L8
142.1,97.3,381608244.0,127073128.0,L7
141.2,87.6,181805526.0,36926070.0,L6
220.4,92.2,632775237.0,98052091.0,L5
251.6,93.8,939034461.0,138152452.0,added
