type,SynapseCount
Delta7,137
PEN_b(PEN2),119
PFNa,113
EPGt,100
PFNd,55
PEG,45
IbSpsP,40
LPsP,38
PFNp_c,30
PFNv,24
P6-8P9,23
PEN_a(PEN1),23
PFNm_a,18
PFNp_e,15
PFNp_b,11
PFNp_a,8
PFGs,7
EPG,3
PFNm_b,3
P1-9,2
PFNp_d,1
SpsP,1
