type,SynapseCount
PEN_b(PEN2),184
Delta7,154
EPGt,139
PFNa,137
PFNd,110
PEG,97
IbSpsP,58
PFNp_c,53
PFNp_a,47
PFNp_b,46
PFNv,40
LPsP,38
P6-8P9,27
PEN_a(PEN1),25
PFNp_e,13
PFNm_a,12
PFGs,11
PFNm_b,4
PFNp_d,4
P1-9,2
SpsP,2
