type,SynapseCount
PEN_b(PEN2),106
Delta7,98
EPGt,86
PFNa,73
PFNd,69
IbSpsP,45
PEG,37
LPsP,34
PFNp_c,27
PFNv,18
PEN_a(PEN1),14
PFNm_a,12
PFNp_b,9
PFNp_e,8
PFNp_a,5
P6-8P9,4
P1-9,1
PFNm_b,1
SpsP,1
