type,SynapseCount
PEN_b(PEN2),80
Delta7,69
PFNa,61
EPGt,59
PFNd,52
IbSpsP,40
PEG,33
LPsP,30
PFNv,23
PFNp_c,23
PFNp_b,15
PFNp_a,13
PFNm_a,12
P6-8P9,11
PEN_a(PEN1),10
PFNp_d,6
PFGs,4
P1-9,3
PFNp_e,2
SpsP,2
PFNm_b,1
