mean_red,mean_green,total_red,total_green,glomerulus
269.8,95.6,848097021.0,300491106.0,R2
233.4,107.6,785095229.0,361844185.0,R3
217.0,119.4,587707880.0,323275396.0,R4
177.2,112.6,356820599.0,226715004.0,R5
703.2,176.8,2920676253.0,734153118.0,R6
270.9,137.7,495636588.0,251943710.0,R7
412.1,163.2,580218220.0,229698699.0,R8
281.6,122.2,1095653252.0,455990324.0,R1+9
269.8,95.6,848097021.0,300491106.0,added
