glomerulus,mean_red,mean_green,total_red,total_green
L8,558.450000179849,96.51143947541644,776276215.0,134156209.0
L7,454.0206299185608,81.83127208019773,609287967.0,109816176.0
L6,311.55488079929444,40.9467787869199,46275558.0,6081866.0
L5,494.7194821567438,52.94921600668715,144410101.0,15456035.0
L4,672.1193393820911,72.88225582291383,1132133274.0,122764548.0
L3,367.9289927979443,41.31409970282975,91496214.0,10273949.0
L2,381.5033785006895,26.43835923023503,115913316.0,8032846.0
L1,277.85739652771485,38.67256367366782,67442103.0,9386682.0
L9,427.1347354283966,85.51830564506837,214994852.0,43044955.0
