glomerulus,mean_red,mean_green,total_red,total_green
glom_1,962.697884919032,159.97142253883200,146629124.0,34883582.0
glom_2,946.590983733162,154.3231499621990,313673617.0,70510562.0
glom_3,935.0431422255890,156.90530144941000,247030280.0,56387721.0
glom_4,843.6925924417470,149.6149780293880,268044331.0,63721847.0
glom_5,864.6630449913690,116.4486051561890,182235840.0,35904963.0
glom_6,850.9027999940200,141.20641920679300,170926218.0,39416768.0
glom_7,1274.2726952415300,227.46508316154600,1204584523.0,242893358.0
glom_8,754.8132729051060,94.20400337003570,126247635.0,21812208.0
glom_9,728.3835959248950,107.99383995735400,82019219.0,15845884.0
glom_10,778.947419819691,132.5700870580110,197166664.0,42273494.0
glom_11,961.63808079386,145.7557071489210,582224685.0,112780834.0
glom_12,1014.9593237366700,172.42937841755500,472628855.0,104465555.0
glom_13,947.4334680353630,148.39912985585300,414290294.0,88798022.0
glom_14,962.6186659372810,155.38826124701200,240604370.0,59908533.0
glom_15,1541.1213207674700,267.6377825310030,1389595082.0,299649469.0
glom_16,1126.7128967493100,185.49667260709700,275695180.0,71163482.0
glom_17,1044.8493747601800,177.63465915362700,278943967.0,72888541.0
glom_18,1112.0621751101000,197.91412196791200,290232137.0,75205764.0
