type,SynapseCount
PEN_b(PEN2),131
EPGt,96
PFNd,81
PFNa,70
Delta7,67
PEG,49
IbSpsP,43
PFNp_b,39
LPsP,36
PFNp_a,26
PFNm_a,24
PEN_a(PEN1),19
PFNv,18
PFNm_b,14
PFNp_e,14
P6-8P9,12
PFGs,10
PFNp_c,9
PFNp_d,2
PFR_a,1
P1-9,1
EPG,1
SMP375,1
