Glomerulus,SynapseCount
PB(R1),1
PB(R2),0
PB(R3),1
PB(R4),2
PB(R5),3
PB(R6),2
PB(R7),0
PB(R8),0
PB(R9),0
PB(L1),1
PB(L2),0
PB(L3),2
PB(L4),1
PB(L5),0
PB(L6),1
PB(L7),0
PB(L8),0
PB(L9),0
