glomerulus,mean_red,mean_green,total_red,total_green
glom_1,531.2739407282695,80.16827904768071,123066952.0,18570581.0
glom_2,508.9012995149774,79.03720307217007,141331560.0,21950133.0
glom_3,796.5267905459801,93.32070932993066,657946263.0,77084679.0
glom_4,434.55865078311655,72.05956331298115,78575157.0,13029522.0
glom_5,465.5311749685583,67.3018064712832,122150725.0,17659321.0
glom_6,433.38531035328754,72.6702005642787,141318282.0,23696299.0
glom_7,416.18328993931925,65.77222074623535,195812157.0,30945501.0
glom_8,412.91362781495775,60.823219432367736,135244078.0,19921794.0
glom_9,349.1564880132655,47.369017172086224,74540022.0,10112622.0
glom_10,388.29337715252154,56.40403982164822,80814724.0,11739260.0
glom_11,616.5449951274377,65.52323807762974,320131124.0,34021893.0
glom_12,427.59541333076106,56.86856371177775,88657633.0,11791128.0
glom_13,347.32732313730435,47.44034062778493,38584245.0,5270100.0
glom_14,344.2735159218975,58.90710522867252,65678780.0,11238003.0
glom_15,370.78649006340544,66.33200041158543,104501352.0,18694812.0
glom_16,408.1911366413105,71.64635136174249,143328562.0,25157255.0
glom_17,437.9405641336159,83.95876980522758,86791061.0,16638949.0
glom_18,440.14323727842884,84.36985794303753,63020589.0,12080245.0
