glomerulus,mean_red,mean_green,total_red,total_green
glom_1,676.3727465599806,84.79254409892708,0.0,0.0
glom_2,652.2598978255846,83.56350987087002,0.0,0.0
glom_3,963.6896572369866,100.21852734873339,0.0,0.0
glom_4,555.8391070489748,75.69341205969184,0.0,0.0
glom_5,571.0343050861514,70.38853697982542,0.0,0.0
glom_6,531.7309209470475,77.01729468109369,0.0,0.0
glom_7,505.7208891266302,69.96811133270151,0.0,0.0
glom_8,508.61808259889324,64.59963192594111,0.0,0.0
glom_9,426.5986831020562,49.287756353661905,0.0,0.0
glom_10,475.453792340437,60.6280787678857,0.0,0.0
glom_11,726.3006948148362,70.15470201284879,0.0,0.0
glom_12,512.0825391728744,60.5323400976111,0.0,0.0
glom_13,423.927831581128,48.40614480294163,0.0,0.0
glom_14,425.24987075916454,60.14786694752436,0.0,0.0
glom_15,459.58396946564886,68.1609269209826,0.0,0.0
glom_16,515.7868503101264,74.09606454608776,0.0,0.0
glom_17,554.8760608614776,88.11181915944893,0.0,0.0
glom_18,547.7768517339654,86.90957524949317,0.0,0.0
