glomerulus,mean_red,mean_green,total_red,total_green
glom_1,119.53018874189176,17.68465343994398,0.0,0.0
glom_2,98.79970829441793,12.713667941812412,0.0,0.0
glom_3,76.66990995939345,17.160238931282734,0.0,0.0
glom_4,79.56467441335349,17.919903426953606,0.0,0.0
glom_5,82.43694951325382,16.730335243794514,0.0,0.0
glom_6,87.75127776354294,19.350997262416893,0.0,0.0
glom_7,95.45774169417545,14.954691135192265,0.0,0.0
glom_8,104.25644804716286,11.301635961680176,0.0,0.0
glom_9,138.2384510479319,15.356615980988083,0.0,0.0
glom_10,109.24378578272609,11.331374769367216,0.0,0.0
glom_11,85.57852661672446,14.668435820737486,0.0,0.0
glom_12,79.0491161830078,18.36207856330324,0.0,0.0
glom_13,96.24122533199302,17.10605788053542,0.0,0.0
glom_14,80.4834290981115,20.622742337183535,0.0,0.0
glom_15,85.87229801975964,13.080928959411487,0.0,0.0
glom_16,103.44817652541245,12.33604463972306,0.0,0.0
glom_17,167.33623701568303,20.248979513131047,0.0,0.0
glom_18,135.28233947994502,19.335977562425434,0.0,0.0
