type,SynapseCount
EPGt,106
PEN_b(PEN2),97
Delta7,76
PFNa,50
PFNd,43
LPsP,39
IbSpsP,34
PEG,33
PFNp_c,18
PEN_a(PEN1),16
PFNv,14
P6-8P9,13
PFNm_a,10
PFNm_b,5
PFNp_b,3
PFGs,2
SpsP,2
PFNp_a,1
PFR_a,1
