type,SynapseCount
Delta7,100
PEN_b(PEN2),83
EPGt,70
PFNa,56
PFNd,45
LPsP,32
IbSpsP,30
PFNm_a,22
PFNv,19
PFNp_c,17
P6-8P9,16
PFNp_b,15
PEG,12
PFNp_a,11
PEN_a(PEN1),9
PFNm_b,5
PFNp_e,5
P1-9,3
PFGs,2
