type,SynapseCount
PEN_b(PEN2),116
PFNa,91
EPGt,74
PFNd,70
Delta7,52
PEG,48
IbSpsP,36
LPsP,29
PFNp_b,28
PFNp_a,26
P6-8P9,26
PFNm_a,23
PFNp_c,22
PEN_a(PEN1),15
PFNv,13
PFNm_b,8
PFNp_e,6
PFGs,5
EPG,2
