type,SynapseCount
PEN_b(PEN2),207
EPGt,173
Delta7,157
PFNa,151
PFNd,107
PEG,85
IbSpsP,69
PFNv,49
PEN_a(PEN1),48
PFNp_c,48
PFNp_a,47
LPsP,39
PFNp_b,35
P6-8P9,21
PFNp_e,17
PFNm_a,16
PFGs,13
EPG,10
PFNm_b,6
PFNp_d,4
SpsP,1
