glomerulus,mean_red,mean_green,total_red,total_green
R1,412.1604574182484,52.937905766635254,392717200.0,50440613.0
R2,426.2971913278454,66.40425322845569,442511405.0,68929939.0
R3,429.25495621264616,62.56503206961124,306251090.0,44636897.0
R4,425.7903729336317,59.608684545414654,271686618.0,38034871.0
R5,677.3954106547403,89.49869530567415,1500224229.0,198212313.0
R6,468.2955872750238,68.20680352782777,382247678.0,55674008.0
R7,436.7799881304941,80.14744041743054,297331862.0,54559248.0
R8,436.8586582605788,76.2620165284008,440284067.0,76859987.0
R9,458.09851819714896,79.66144898281486,252358686.0,43884138.0
