instance_post,SynapseCount
Delta7(PB15)_L1L9R8_R,51
Delta7(PB15)_L6R3_L,18
Delta7(PB15)_L4R5_R,15
Delta7(PB15)_L5R4_L,15
Delta7(PB15)_L8R1R9_L,10
Delta7(PB15)_L6R4_L,8
Delta7(PB15)_L4R6_R,8
Delta7(PB15)_L7R2_L,8
Delta7(PB15)_L3R6_R,3
Delta7(PB15)_L7R3_L,1
