instance_post,SynapseCount
Delta7(PB15)_L6R3_L,37
Delta7(PB15)_L1L9R8_R,32
Delta7(PB15)_L5R4_L,14
Delta7(PB15)_L8R1R9_L,14
Delta7(PB15)_L6R4_L,12
Delta7(PB15)_L7R2_L,9
Delta7(PB15)_L4R5_R,8
Delta7(PB15)_L4R6_R,2
Delta7(PB15)_L7R3_L,2
Delta7(PB15)_L3R6_R,1
