instance_post,SynapseCount
Delta7(PB15)_L8R1R9_L,40
Delta7(PB15)_L2R7_R,39
Delta7(PB15)_L3R6_R,17
Delta7(PB15)_L4R6_R,14
Delta7(PB15)_L1L9R8_R,13
Delta7(PB15)_L5R4_L,12
Delta7(PB15)_L4R5_R,12
Delta7(PB15)_L6R4_L,7
