instance_post,SynapseCount
Delta7(PB15)_L8R1R9_L,21
Delta7(PB15)_L4R5_R,11
Delta7(PB15)_L3R6_R,11
Delta7(PB15)_L1L9R8_R,9
Delta7(PB15)_L5R4_L,7
Delta7(PB15)_L2R7_R,6
Delta7(PB15)_L6R3_L,1
Delta7(PB15)_L6R4_L,1
