instance_post,SynapseCount
Delta7(PB15)_L8R1R9_L,37
Delta7(PB15)_L2R7_R,23
Delta7(PB15)_L1L9R8_R,22
Delta7(PB15)_L3R6_R,21
Delta7(PB15)_L4R5_R,21
Delta7(PB15)_L5R4_L,13
Delta7(PB15)_L4R6_R,12
Delta7(PB15)_L6R4_L,5
Delta7(PB15)_L6R3_L,3
