,mean_red,mean_green,total_red,total_green
0,848.9542005997691,73.94100863355204,402276099.0,35036873.0
1,955.6662628633705,71.84610623240347,683965566.0,51419899.0
2,846.5180621174721,63.48387512126032,578550230.0,43387864.0
3,888.4295289452127,59.06732454117864,327530207.0,21775878.0
4,849.2052550921038,61.282187631338864,331370081.0,23913045.0
5,769.5505230639812,56.653493203436504,270780973.0,19934608.0
6,1429.5982169671145,80.1450792328032,2727651954.0,152915609.0
7,615.7913120297642,45.274322820334206,230724073.0,16963338.0
8,723.7915245731895,54.077472603199624,409624023.0,30604713.0
9,796.1831734227204,52.765766010286754,1056030291.0,69986718.0
10,756.7071191461927,64.72823094998321,710082610.0,60740001.0
11,872.8054314803999,71.55406688713059,415425710.0,34057303.0
12,659.1950419979797,68.76610053573464,167710425.0,17495265.0
13,661.8919852293094,45.812840146920536,202008772.0,13982033.0
14,1196.6863832345648,62.341877720506155,2555681734.0,133139309.0
15,824.7985075293324,52.16975157043422,461785714.0,29208644.0
16,836.0475922092719,65.89934374448812,412382983.0,32505049.0
17,822.594930173092,78.97180067179083,434935553.0,41755234.0
