Glomerulus,SynapseCount
PB(L1),285.0
PB(L2),12.0
PB(L3),0.0
PB(L4),2.0
PB(L5),5.0
PB(L6),1.0
PB(L7),0.0
PB(L8),0.0
PB(L9),98.0
PB(R1),8.0
PB(R2),0.0
PB(R3),5.0
PB(R4),7.0
PB(R5),1.0
PB(R6),1.0
PB(R7),53.0
PB(R8),148.0
PB(R9),2.0
